barra,year,month,month_label,voltage_kv,nodal_price_stress_score,system_adjusted_nodal_risk_score,monthly_nodal_stress_rank,due_diligence_tier,data_quality_score,low_information_flag,main_driver,mean_price,p95_price,volatility_metric,critical_window_hours,topology_evidence_grade
PIURA OESTE 220,2024,11,2024-11,220.0,76.32,95.68,7.0,Priority B,1.0,False,Price level,0.1176,0.1569,0.0203,36.0,A
VALLE DEL CHIRA 220,2024,11,2024-11,220.0,75.12,95.18,9.0,Priority B,1.0,False,Price level,0.1176,0.1567,0.0203,36.0,A
TALARA13.2,2024,11,2024-11,13.2,74.02,94.67,11.0,Priority B,1.0,False,Price level,0.1172,0.1558,0.0203,36.0,A
TALARA 220,2024,11,2024-11,220.0,74.09,94.42,12.0,Priority B,1.0,False,Price level,0.1173,0.156,0.0203,36.0,A
HUAYLLACHO 15,2024,11,2024-11,15.0,74.23,93.9,14.0,Priority A,1.0,False,Price level,0.1223,0.1637,0.0211,36.0,A
GE1 33,2024,11,2024-11,33.0,73.66,93.65,15.0,Priority B,1.0,False,Price level,0.1171,0.1558,0.0202,36.0,A
SAN ANTONIO 15,2024,11,2024-11,15.0,73.85,93.26,16.0,Priority B,1.0,False,Price level,0.1222,0.1636,0.0211,36.0,A
SAN IGNACIO 15,2024,11,2024-11,15.0,73.85,93.26,16.0,Priority B,1.0,False,Price level,0.1222,0.1636,0.0211,36.0,A
GALLITO CIEGO 60,2024,11,2024-11,60.0,73.57,92.87,17.0,Priority B,1.0,False,Price level,0.1181,0.1564,0.0202,36.0,A
BELAUNDE 138,2024,11,2024-11,138.0,73.52,92.09,19.0,Priority B,1.0,False,Price level,0.1176,0.1554,0.0203,36.0,A
JULIACA10,2024,11,2024-11,10.0,70.95,91.3,22.0,Priority B,1.0,False,Price level,0.1178,0.1575,0.0206,36.0,A
TINTAYA EXISTENTE 138,2024,11,2024-11,138.0,70.69,90.51,25.0,Priority B,1.0,False,Price level,0.1184,0.1581,0.0204,36.0,A
TINTAYA NUEVA 220,2024,11,2024-11,220.0,70.16,88.9,30.0,Priority B,1.0,False,Price level,0.118,0.1576,0.0204,36.0,A
MISAPUQUIO 33,2024,11,2024-11,33.0,67.02,85.02,43.0,Priority B,1.0,False,Price level,0.1181,0.1573,0.0202,36.0,A
PARIAC 66,2024,11,2024-11,66.0,56.03,75.41,74.0,Priority B,1.0,False,Stress premium,0.115,0.1506,0.019,36.0,A
NCTUMBES60,2024,12,2024-12,60.0,80.7,74.54,1.0,Priority A,1.0,False,Volatility,0.1216,0.156,0.1319,37.25,A
PLANTAETANOL 60,2024,12,2024-12,60.0,80.56,74.35,2.0,Priority A,1.0,False,Volatility,0.1228,0.1567,0.1324,37.25,A
ZORRITOS 220,2024,12,2024-12,220.0,80.27,74.15,3.0,Priority A,1.0,False,Volatility,0.1214,0.1557,0.1318,37.25,A
VALLE DEL CHIRA 220,2024,12,2024-12,220.0,79.56,73.96,4.0,Priority B,1.0,False,Volatility,0.1204,0.1536,0.1318,37.25,A
PIURA OESTE 220,2024,12,2024-12,220.0,79.19,73.77,5.0,Priority B,1.0,False,Volatility,0.1203,0.1532,0.1318,37.25,A
TALARA 220,2024,12,2024-12,220.0,79.14,73.58,6.0,Priority B,1.0,False,Volatility,0.1203,0.1535,0.1316,37.25,A
GE1 33,2024,12,2024-12,33.0,78.87,73.19,8.0,Priority B,1.0,False,Volatility,0.1202,0.1537,0.1315,37.25,A
TALARA13.2,2024,12,2024-12,13.2,78.42,73.0,9.0,Priority B,1.0,False,Volatility,0.1201,0.1533,0.1316,37.25,A
JAEN 138,2024,12,2024-12,138.0,77.68,72.61,11.0,Priority B,1.0,False,Volatility,0.1184,0.154,0.1232,37.25,A
GALLITO CIEGO 60,2024,12,2024-12,60.0,76.76,72.22,13.0,Priority B,1.0,False,Volatility,0.1191,0.1512,0.1309,37.25,A
BELAUNDE 138,2024,12,2024-12,138.0,72.6,68.8,30.0,Priority B,1.0,False,Volatility,0.1139,0.1506,0.1063,37.25,A
PARIAC 66,2024,12,2024-12,66.0,71.58,68.18,33.0,Priority B,1.0,False,Volatility,0.1144,0.1463,0.1214,37.25,A
SAN ANTONIO 15,2024,12,2024-12,15.0,61.42,63.78,53.0,Priority B,1.0,False,Price level,0.0977,0.1448,0.0375,37.25,A
SAN IGNACIO 15,2024,12,2024-12,15.0,61.42,63.78,53.0,Priority B,1.0,False,Price level,0.0977,0.1448,0.0375,37.25,A
HUAYLLACHO 15,2024,12,2024-12,15.0,61.36,63.44,54.0,Priority A,1.0,False,Price level,0.0977,0.1448,0.0375,37.25,A
MISAPUQUIO 33,2024,12,2024-12,33.0,60.05,62.99,56.0,Priority B,1.0,False,Price level,0.0967,0.143,0.0372,37.25,A
JULIACA10,2024,12,2024-12,10.0,59.11,62.77,57.0,Priority B,1.0,False,Price level,0.0945,0.1406,0.0365,37.25,A
TINTAYA EXISTENTE 138,2024,12,2024-12,138.0,59.39,62.54,58.0,Priority B,1.0,False,Price level,0.095,0.1408,0.0366,37.25,A
TINTAYA NUEVA 220,2024,12,2024-12,220.0,59.15,62.32,59.0,Priority B,1.0,False,Price level,0.0948,0.1404,0.0365,37.25,A
PLANTAETANOL 60,2025,1,2025-01,60.0,87.06,28.87,1.0,Priority A,1.0,False,Volatility,0.1468,0.7548,0.1784,37.0,A
NCTUMBES60,2025,1,2025-01,60.0,86.91,28.79,2.0,Priority A,1.0,False,Volatility,0.1435,0.734,0.1739,37.0,A
ZORRITOS 220,2025,1,2025-01,220.0,86.38,28.72,3.0,Priority A,1.0,False,Volatility,0.1433,0.7335,0.1737,37.0,A
VALLE DEL CHIRA 220,2025,1,2025-01,220.0,85.74,28.65,4.0,Priority B,1.0,False,Volatility,0.1419,0.7301,0.1727,37.0,A
PIURA OESTE 220,2025,1,2025-01,220.0,84.99,28.57,5.0,Priority B,1.0,False,Volatility,0.1417,0.73,0.1726,37.0,A
TALARA 220,2025,1,2025-01,220.0,84.86,28.5,6.0,Priority B,1.0,False,Volatility,0.1417,0.7285,0.1724,37.0,A
GE1 33,2025,1,2025-01,33.0,84.26,28.35,8.0,Priority B,1.0,False,Volatility,0.1416,0.7277,0.1721,37.0,A
TALARA13.2,2025,1,2025-01,13.2,83.92,28.27,9.0,Priority B,1.0,False,Volatility,0.1415,0.727,0.172,37.0,A
GALLITO CIEGO 60,2025,1,2025-01,60.0,79.97,27.51,18.0,Priority B,1.0,False,Volatility,0.1378,0.707,0.168,37.0,A
HUAYLLACHO 15,2025,1,2025-01,15.0,75.83,27.2,22.0,Priority A,1.0,False,Volatility,0.1414,0.6157,0.1726,37.0,A
SAN ANTONIO 15,2025,1,2025-01,15.0,75.64,27.08,23.0,Priority B,1.0,False,Volatility,0.1413,0.6155,0.1726,37.0,A
SAN IGNACIO 15,2025,1,2025-01,15.0,75.64,27.08,23.0,Priority B,1.0,False,Volatility,0.1413,0.6155,0.1726,37.0,A
JAEN 138,2025,1,2025-01,138.0,72.88,26.88,25.0,Priority B,1.0,False,Price level,0.1335,0.686,0.1683,37.0,A
BELAUNDE 138,2025,1,2025-01,138.0,72.28,26.81,26.0,Priority B,1.0,False,Price level,0.1351,0.645,0.1655,37.0,A
MISAPUQUIO 33,2025,1,2025-01,33.0,72.9,26.65,28.0,Priority B,1.0,False,Price level,0.1401,0.6129,0.1711,37.0,A
PARIAC 66,2025,1,2025-01,66.0,72.1,26.57,29.0,Priority B,1.0,False,Price level,0.1341,0.6739,0.1632,37.0,A
JULIACA10,2025,1,2025-01,10.0,71.94,26.49,30.0,Priority B,1.0,False,Volatility,0.137,0.5986,0.1669,37.0,A
TINTAYA EXISTENTE 138,2025,1,2025-01,138.0,71.37,26.41,31.0,Priority B,1.0,False,Volatility,0.1378,0.6035,0.168,37.0,A
TINTAYA NUEVA 220,2025,1,2025-01,220.0,71.3,26.33,32.0,Priority B,1.0,False,Volatility,0.1373,0.6013,0.1674,37.0,A
PLANTAETANOL 60,2025,2,2025-02,60.0,84.52,23.57,1.0,Priority A,1.0,False,Price level,0.1184,0.1849,0.0923,33.5,A
NCTUMBES60,2025,2,2025-02,60.0,82.8,23.51,2.0,Priority A,1.0,False,Volatility,0.1162,0.1819,0.0899,33.5,A
ZORRITOS 220,2025,2,2025-02,220.0,82.37,23.45,3.0,Priority A,1.0,False,Volatility,0.116,0.1815,0.0898,33.5,A
GE1 33,2025,2,2025-02,33.0,80.44,23.39,4.0,Priority B,1.0,False,Price level,0.1148,0.1792,0.0892,33.5,A
TALARA 220,2025,2,2025-02,220.0,79.63,23.27,6.0,Priority B,1.0,False,Price level,0.1147,0.179,0.0889,33.5,A
VALLE DEL CHIRA 220,2025,2,2025-02,220.0,79.53,23.21,7.0,Priority B,1.0,False,Price level,0.1145,0.1792,0.0888,33.5,A
HUAYLLACHO 15,2025,2,2025-02,15.0,79.25,23.15,8.0,Priority A,1.0,False,Price level,0.1118,0.1607,0.0888,33.5,A
SAN ANTONIO 15,2025,2,2025-02,15.0,79.01,23.05,9.0,Priority B,1.0,False,Price level,0.1117,0.1606,0.0887,33.5,A
SAN IGNACIO 15,2025,2,2025-02,15.0,79.01,23.05,9.0,Priority B,1.0,False,Price level,0.1117,0.1606,0.0887,33.5,A
PIURA OESTE 220,2025,2,2025-02,220.0,78.48,22.96,10.0,Priority B,1.0,False,Price level,0.1142,0.1788,0.0886,33.5,A
MISAPUQUIO 33,2025,2,2025-02,33.0,77.9,22.9,11.0,Priority B,1.0,False,Volatility,0.1108,0.16,0.0883,33.5,A
TALARA13.2,2025,2,2025-02,13.2,77.36,22.84,12.0,Priority B,1.0,False,Price level,0.1146,0.179,0.0887,33.5,A
TINTAYA EXISTENTE 138,2025,2,2025-02,138.0,74.0,22.34,20.0,Priority B,1.0,False,Price level,0.1094,0.1581,0.0873,33.5,A
GALLITO CIEGO 60,2025,2,2025-02,60.0,71.07,22.27,21.0,Priority B,1.0,False,Price level,0.1102,0.1731,0.0848,33.5,A
TINTAYA NUEVA 220,2025,2,2025-02,220.0,73.56,22.08,24.0,Priority B,1.0,False,Price level,0.1091,0.1575,0.087,33.5,A
JULIACA10,2025,2,2025-02,10.0,73.27,22.02,25.0,Priority B,1.0,False,Price level,0.1089,0.1569,0.0868,33.5,A
PARIAC 66,2025,2,2025-02,66.0,65.95,20.55,47.0,Priority B,1.0,False,Price level,0.1047,0.1555,0.0846,33.5,A
BELAUNDE 138,2025,2,2025-02,138.0,62.28,19.56,61.0,Priority B,1.0,False,Price level,0.1058,0.162,0.0853,33.5,A
JAEN 138,2025,2,2025-02,138.0,59.51,18.52,75.0,Priority B,1.0,False,Price level,0.1038,0.1601,0.0888,33.5,A
PLANTAETANOL 60,2025,3,2025-03,60.0,84.95,47.14,1.0,Priority A,1.0,False,Volatility,0.1292,0.1872,0.1404,37.0,A
NCTUMBES60,2025,3,2025-03,60.0,85.54,47.01,2.0,Priority A,1.0,False,Price level,0.1274,0.1825,0.1374,37.0,A
ZORRITOS 220,2025,3,2025-03,220.0,84.68,46.89,3.0,Priority A,1.0,False,Price level,0.1272,0.1821,0.1373,37.0,A
GE1 33,2025,3,2025-03,33.0,83.1,46.64,5.0,Priority B,1.0,False,Price level,0.1258,0.1805,0.1361,37.0,A
VALLE DEL CHIRA 220,2025,3,2025-03,220.0,82.85,46.51,6.0,Priority B,1.0,False,Price level,0.1257,0.1797,0.136,37.0,A
TALARA 220,2025,3,2025-03,220.0,82.47,46.38,7.0,Priority B,1.0,False,Price level,0.1258,0.1798,0.136,37.0,A
TALARA13.2,2025,3,2025-03,13.2,82.11,46.25,8.0,Priority B,1.0,False,Price level,0.1257,0.1797,0.1358,37.0,A
PIURA OESTE 220,2025,3,2025-03,220.0,80.96,46.13,9.0,Priority B,1.0,False,Price level,0.1254,0.1793,0.1357,37.0,A
JAEN 138,2025,3,2025-03,138.0,79.36,45.74,12.0,Priority B,1.0,False,Price level,0.1227,0.179,0.1302,37.0,A
BELAUNDE 138,2025,3,2025-03,138.0,76.01,45.09,17.0,Priority B,1.0,False,Price level,0.1207,0.1773,0.1251,37.0,A
GALLITO CIEGO 60,2025,3,2025-03,60.0,74.0,44.96,18.0,Priority B,1.0,False,Volatility,0.1207,0.1741,0.1312,37.0,A
PARIAC 66,2025,3,2025-03,66.0,72.69,44.16,24.0,Priority B,1.0,False,Volatility,0.1178,0.1756,0.1297,37.0,A
HUAYLLACHO 15,2025,3,2025-03,15.0,72.98,43.89,26.0,Priority A,1.0,False,Price level,0.1201,0.1844,0.1248,37.0,A
SAN ANTONIO 15,2025,3,2025-03,15.0,72.77,43.56,28.0,Priority B,1.0,False,Price level,0.12,0.1843,0.1247,37.0,A
SAN IGNACIO 15,2025,3,2025-03,15.0,72.77,43.56,28.0,Priority B,1.0,False,Price level,0.12,0.1843,0.1247,37.0,A
MISAPUQUIO 33,2025,3,2025-03,33.0,69.0,43.08,31.0,Priority B,1.0,False,Price level,0.119,0.1821,0.124,36.5,A
TINTAYA EXISTENTE 138,2025,3,2025-03,138.0,71.63,42.94,32.0,Priority B,1.0,False,Price level,0.118,0.1805,0.1231,37.0,A
TINTAYA NUEVA 220,2025,3,2025-03,220.0,70.66,42.67,34.0,Priority B,1.0,False,Price level,0.1176,0.1799,0.1227,37.0,A
JULIACA10,2025,3,2025-03,10.0,69.57,42.25,37.0,Priority B,1.0,False,Price level,0.1173,0.1795,0.1221,37.0,A
PLANTAETANOL 60,2025,4,2025-04,60.0,83.1,72.65,1.0,Priority A,1.0,False,Price level,0.086,0.1481,0.0682,36.0,A
NCTUMBES60,2025,4,2025-04,60.0,82.13,72.29,3.0,Priority A,1.0,False,Price level,0.0854,0.1471,0.068,36.0,A
ZORRITOS 220,2025,4,2025-04,220.0,81.58,72.11,4.0,Priority A,1.0,False,Price level,0.0856,0.1473,0.068,36.0,A
SAN ANTONIO 15,2025,4,2025-04,15.0,83.05,71.83,5.0,Priority B,1.0,False,Price level,0.0833,0.1513,0.069,36.0,A
SAN IGNACIO 15,2025,4,2025-04,15.0,83.05,71.83,5.0,Priority B,1.0,False,Price level,0.0833,0.1513,0.069,36.0,A
HUAYLLACHO 15,2025,4,2025-04,15.0,82.97,71.56,6.0,Priority A,1.0,False,Price level,0.0833,0.1513,0.069,36.0,A
VALLE DEL CHIRA 220,2025,4,2025-04,220.0,80.33,71.38,7.0,Priority B,1.0,False,Price level,0.0846,0.1455,0.0672,36.0,A
TALARA 220,2025,4,2025-04,220.0,79.73,71.2,8.0,Priority B,1.0,False,Price level,0.0846,0.1454,0.0672,36.0,A
PIURA OESTE 220,2025,4,2025-04,220.0,78.88,70.83,10.0,Priority B,1.0,False,Price level,0.0844,0.1451,0.0671,36.0,A
MISAPUQUIO 33,2025,4,2025-04,33.0,79.65,70.64,11.0,Priority B,1.0,False,Price level,0.0825,0.1494,0.0681,36.0,A
TALARA13.2,2025,4,2025-04,13.2,78.56,70.46,12.0,Priority B,1.0,False,Price level,0.0845,0.1451,0.0671,36.0,A
GE1 33,2025,4,2025-04,33.0,77.75,70.27,13.0,Priority B,1.0,False,Price level,0.0845,0.1453,0.0671,36.0,A
JULIACA10,2025,4,2025-04,10.0,79.02,70.09,14.0,Priority B,1.0,False,Price level,0.0811,0.1474,0.0671,36.0,A
TINTAYA EXISTENTE 138,2025,4,2025-04,138.0,79.25,69.9,15.0,Priority B,1.0,False,Price level,0.0815,0.1478,0.0673,36.0,A
TINTAYA NUEVA 220,2025,4,2025-04,220.0,78.17,69.71,16.0,Priority B,1.0,False,Price level,0.0813,0.1472,0.0671,36.0,A
JAEN 138,2025,4,2025-04,138.0,70.05,64.86,41.0,Priority B,1.0,False,Price level,0.0823,0.1452,0.0661,36.0,A
BELAUNDE 138,2025,4,2025-04,138.0,67.75,63.64,46.0,Priority B,1.0,False,Price level,0.0823,0.1443,0.0651,36.0,A
GALLITO CIEGO 60,2025,4,2025-04,60.0,65.77,61.97,54.0,Priority B,1.0,False,Stress premium,0.081,0.1411,0.0642,36.0,A
PARIAC 66,2025,4,2025-04,66.0,63.8,60.05,63.0,Priority B,1.0,False,Price level,0.0811,0.1407,0.0638,36.0,A
PLANTAETANOL 60,2025,5,2025-05,60.0,84.0,84.98,1.0,Priority A,1.0,False,Price level,0.1397,0.7563,0.165,37.0,A
ZORRITOS 220,2025,5,2025-05,220.0,85.32,84.77,2.0,Priority A,1.0,False,Price level,0.1385,0.7561,0.1646,37.0,A
VALLE DEL CHIRA 220,2025,5,2025-05,220.0,84.74,84.55,3.0,Priority B,1.0,False,Price level,0.1374,0.7535,0.1644,37.0,A
TALARA13.2,2025,5,2025-05,13.2,84.16,84.34,4.0,Priority B,1.0,False,Price level,0.1373,0.7535,0.1644,37.0,A
GE1 33,2025,5,2025-05,33.0,84.98,83.9,6.0,Priority B,1.0,False,Price level,0.1372,0.7531,0.1643,37.0,A
NCTUMBES60,2025,5,2025-05,60.0,84.16,83.69,7.0,Priority A,1.0,False,Price level,0.1373,0.7533,0.1643,37.0,A
TALARA 220,2025,5,2025-05,220.0,84.12,83.47,8.0,Priority B,1.0,False,Price level,0.1373,0.7533,0.1643,37.0,A
PIURA OESTE 220,2025,5,2025-05,220.0,83.56,83.25,9.0,Priority B,1.0,False,Price level,0.1372,0.7528,0.1643,37.0,A
BELAUNDE 138,2025,5,2025-05,138.0,78.73,82.15,14.0,Priority B,1.0,False,Price level,0.1159,0.144,0.1532,37.0,A
GALLITO CIEGO 60,2025,5,2025-05,60.0,78.43,81.7,16.0,Priority B,1.0,False,Price level,0.109,0.1438,0.1086,37.0,A
JAEN 138,2025,5,2025-05,138.0,77.54,81.25,18.0,Priority B,1.0,False,Price level,0.1094,0.146,0.1102,37.0,A
PARIAC 66,2025,5,2025-05,66.0,71.24,78.28,31.0,Priority B,1.0,False,Price level,0.108,0.1403,0.1051,37.0,A
HUAYLLACHO 15,2025,5,2025-05,15.0,62.33,72.98,53.0,Priority A,1.0,False,Price level,0.0953,0.1433,0.0363,37.0,A
SAN ANTONIO 15,2025,5,2025-05,15.0,62.25,72.6,54.0,Priority B,1.0,False,Price level,0.0953,0.1433,0.0363,37.0,A
SAN IGNACIO 15,2025,5,2025-05,15.0,62.25,72.6,54.0,Priority B,1.0,False,Price level,0.0953,0.1433,0.0363,37.0,A
MISAPUQUIO 33,2025,5,2025-05,33.0,61.17,71.72,57.0,Priority B,1.0,False,Price level,0.0944,0.1415,0.0359,37.0,A
JULIACA10,2025,5,2025-05,10.0,59.49,70.95,60.0,Priority B,1.0,False,Price level,0.0912,0.1374,0.0351,37.0,A
TINTAYA EXISTENTE 138,2025,5,2025-05,138.0,59.63,70.69,61.0,Priority B,1.0,False,Price level,0.0927,0.1388,0.0353,37.0,A
TINTAYA NUEVA 220,2025,5,2025-05,220.0,58.7,70.17,63.0,Priority B,1.0,False,Price level,0.0923,0.1384,0.0352,37.0,A
SAN IGNACIO 15,2025,6,2025-06,15.0,66.45,56.79,3.0,Priority B,0.8,False,Price level,0.1096,0.1501,0.0224,36.0,A
HUAYLLACHO 15,2025,6,2025-06,15.0,65.85,56.64,4.0,Priority A,0.8,False,Price level,0.1093,0.1495,0.0224,36.0,A
SAN ANTONIO 15,2025,6,2025-06,15.0,65.62,56.48,5.0,Priority B,0.8,False,Price level,0.1092,0.1494,0.0224,36.0,A
JAEN 138,2025,6,2025-06,138.0,63.79,56.33,6.0,Priority B,0.8,False,Price level,0.1088,0.1488,0.0217,36.0,A
PLANTAETANOL 60,2025,6,2025-06,60.0,64.07,56.03,8.0,Priority A,0.8,False,Price level,0.1113,0.1502,0.0217,36.0,A
PARIAC 66,2025,6,2025-06,66.0,65.43,55.87,9.0,Priority B,0.8,False,Price level,0.116,0.1546,0.0221,36.0,A
TINTAYA EXISTENTE 138,2025,6,2025-06,138.0,62.02,55.72,10.0,Priority B,0.8,False,Price level,0.1083,0.1482,0.0221,36.0,A
MISAPUQUIO 33,2025,6,2025-06,33.0,62.9,55.57,11.0,Priority B,0.8,False,Price level,0.1097,0.1503,0.0222,36.0,A
BELAUNDE 138,2025,6,2025-06,138.0,62.82,54.94,15.0,Priority B,0.8,False,Price level,0.1094,0.148,0.0214,36.0,A
TINTAYA NUEVA 220,2025,6,2025-06,220.0,61.16,54.79,16.0,Priority B,0.8,False,Price level,0.1079,0.1476,0.022,36.0,A
JULIACA10,2025,6,2025-06,10.0,60.6,54.63,17.0,Priority B,0.8,False,Price level,0.1074,0.1472,0.0221,36.0,A
ZORRITOS 220,2025,6,2025-06,220.0,61.1,53.36,25.0,Priority A,0.8,False,Price level,0.1092,0.1497,0.0215,36.0,A
TALARA13.2,2025,6,2025-06,13.2,59.64,52.06,33.0,Priority B,0.8,False,Price level,0.1084,0.148,0.0213,36.0,A
GALLITO CIEGO 60,2025,6,2025-06,60.0,61.08,51.89,34.0,Priority B,0.8,False,Price level,0.1099,0.1475,0.0211,36.0,A
NCTUMBES60,2025,6,2025-06,60.0,59.59,51.65,35.0,Priority A,0.8,False,Price level,0.1084,0.1479,0.0213,36.0,A
TALARA 220,2025,6,2025-06,220.0,59.59,51.65,35.0,Priority B,0.8,False,Price level,0.1084,0.1479,0.0213,36.0,A
GE1 33,2025,6,2025-06,33.0,58.8,50.89,39.0,Priority B,0.8,False,Price level,0.1081,0.1477,0.0212,36.0,A
VALLE DEL CHIRA 220,2025,6,2025-06,220.0,58.66,50.38,42.0,Priority B,0.8,False,Price level,0.1084,0.1476,0.0213,36.0,A
PIURA OESTE 220,2025,6,2025-06,220.0,57.84,49.7,46.0,Priority B,0.8,False,Price level,0.1083,0.1474,0.0212,36.0,A
JAEN 138,2025,7,2025-07,138.0,65.95,72.18,3.0,Priority B,0.8,False,Price level,0.1117,0.1465,0.0151,37.0,A
BELAUNDE 138,2025,7,2025-07,138.0,65.2,71.22,8.0,Priority B,0.8,False,Price level,0.1123,0.1469,0.015,37.0,A
SAN IGNACIO 15,2025,7,2025-07,15.0,64.37,70.84,10.0,Priority B,0.8,False,Price level,0.1135,0.1472,0.0149,37.0,A
PLANTAETANOL 60,2025,7,2025-07,60.0,63.03,70.64,11.0,Priority A,0.8,False,Price level,0.114,0.1483,0.0148,37.0,A
HUAYLLACHO 15,2025,7,2025-07,15.0,64.08,70.45,12.0,Priority A,0.8,False,Price level,0.1132,0.1468,0.0149,37.0,A
SAN ANTONIO 15,2025,7,2025-07,15.0,63.75,70.25,13.0,Priority B,0.8,False,Price level,0.1131,0.1468,0.0149,37.0,A
GALLITO CIEGO 60,2025,7,2025-07,60.0,61.41,69.47,17.0,Priority B,0.8,False,Price level,0.1126,0.1471,0.0148,37.0,A
PARIAC 66,2025,7,2025-07,66.0,61.92,69.27,18.0,Priority B,0.8,False,Price level,0.1196,0.1552,0.0155,37.0,A
TINTAYA EXISTENTE 138,2025,7,2025-07,138.0,63.22,69.07,19.0,Priority B,0.8,False,Volatility,0.1125,0.1459,0.0147,37.0,A
TINTAYA NUEVA 220,2025,7,2025-07,220.0,62.74,68.87,20.0,Priority B,0.8,False,Volatility,0.1121,0.1455,0.0147,37.0,A
JULIACA10,2025,7,2025-07,10.0,60.1,67.47,27.0,Priority B,0.8,False,Volatility,0.1116,0.1448,0.0146,37.0,A
MISAPUQUIO 33,2025,7,2025-07,33.0,60.85,67.26,28.0,Priority B,0.8,False,Volatility,0.1136,0.1472,0.0148,37.0,A
ZORRITOS 220,2025,7,2025-07,220.0,56.07,64.98,39.0,Priority A,0.8,False,Price level,0.1106,0.1435,0.0143,37.0,A
GE1 33,2025,7,2025-07,33.0,54.3,61.74,52.0,Priority B,0.8,False,Price level,0.1101,0.1424,0.0141,37.0,A
VALLE DEL CHIRA 220,2025,7,2025-07,220.0,52.74,61.07,55.0,Priority B,0.8,False,Price level,0.1097,0.1425,0.0142,37.0,A
NCTUMBES60,2025,7,2025-07,60.0,52.56,60.73,56.0,Priority A,0.8,False,Price level,0.1098,0.1423,0.0141,37.0,A
TALARA 220,2025,7,2025-07,220.0,52.56,60.73,56.0,Priority B,0.8,False,Price level,0.1098,0.1423,0.0141,37.0,A
PIURA OESTE 220,2025,7,2025-07,220.0,51.74,59.7,60.0,Priority B,0.8,False,Price level,0.1097,0.1425,0.0142,37.0,A
TALARA13.2,2025,7,2025-07,13.2,51.24,59.01,63.0,Priority B,0.8,False,Price level,0.1096,0.142,0.0141,37.0,A
ZORRITOS 220,2025,8,2025-08,220.0,83.23,83.33,1.0,Priority A,1.0,False,Price level,0.1333,0.1656,0.1018,37.0,A
GE1 33,2025,8,2025-08,33.0,82.37,82.92,3.0,Priority B,1.0,False,Price level,0.1332,0.1661,0.102,37.0,A
NCTUMBES60,2025,8,2025-08,60.0,83.54,82.6,4.0,Priority A,1.0,False,Price level,0.1323,0.1642,0.1016,37.0,A
TALARA 220,2025,8,2025-08,220.0,83.54,82.6,4.0,Priority B,1.0,False,Price level,0.1323,0.1642,0.1016,37.0,A
TALARA13.2,2025,8,2025-08,13.2,82.9,82.29,5.0,Priority B,1.0,False,Price level,0.1323,0.1643,0.1016,37.0,A
VALLE DEL CHIRA 220,2025,8,2025-08,220.0,81.18,82.07,6.0,Priority B,1.0,False,Price level,0.1321,0.164,0.1016,37.0,A
PIURA OESTE 220,2025,8,2025-08,220.0,80.86,81.86,7.0,Priority B,1.0,False,Price level,0.1318,0.1635,0.1014,37.0,A
GALLITO CIEGO 60,2025,8,2025-08,60.0,80.99,81.65,8.0,Priority B,1.0,False,Price level,0.1338,0.1667,0.0991,37.0,A
JAEN 138,2025,8,2025-08,138.0,80.07,81.22,10.0,Priority B,1.0,False,Price level,0.1333,0.1701,0.0935,37.0,A
PARIAC 66,2025,8,2025-08,66.0,80.68,79.71,16.0,Priority B,1.0,False,Price level,0.1398,0.1766,0.0887,37.0,A
PLANTAETANOL 60,2025,8,2025-08,60.0,78.39,79.28,18.0,Priority A,1.0,False,Price level,0.1356,0.1701,0.1023,37.0,A
BELAUNDE 138,2025,8,2025-08,138.0,78.67,78.4,22.0,Priority B,1.0,False,Price level,0.1319,0.1677,0.0877,37.0,A
HUAYLLACHO 15,2025,8,2025-08,15.0,59.93,69.22,61.0,Priority A,1.0,False,Price level,0.1169,0.1617,0.0238,37.0,A
SAN ANTONIO 15,2025,8,2025-08,15.0,59.34,68.84,62.0,Priority B,1.0,False,Price level,0.1169,0.1616,0.0238,37.0,A
SAN IGNACIO 15,2025,8,2025-08,15.0,59.34,68.84,62.0,Priority B,1.0,False,Price level,0.1169,0.1616,0.0238,37.0,A
MISAPUQUIO 33,2025,8,2025-08,33.0,56.96,66.93,69.0,Priority B,1.0,False,Price level,0.1174,0.1614,0.0236,37.0,A
TINTAYA EXISTENTE 138,2025,8,2025-08,138.0,55.23,66.14,72.0,Priority B,1.0,False,Price level,0.116,0.1605,0.0235,37.0,A
JULIACA10,2025,8,2025-08,10.0,54.5,65.88,73.0,Priority B,1.0,False,Price level,0.1153,0.1597,0.0236,37.0,A
TINTAYA NUEVA 220,2025,8,2025-08,220.0,54.37,65.09,76.0,Priority B,1.0,False,Price level,0.1156,0.16,0.0234,37.0,A
JAEN 138,2025,9,2025-09,138.0,62.63,81.85,3.0,Priority B,0.8,False,Price level,0.1128,0.1607,0.0185,36.0,A
JULIACA10,2025,9,2025-09,10.0,64.69,81.63,4.0,Priority B,0.8,False,Volatility,0.1096,0.153,0.0191,36.0,A
HUAYLLACHO 15,2025,9,2025-09,15.0,62.05,81.42,5.0,Priority A,0.8,False,Volatility,0.111,0.1543,0.0192,36.0,A
SAN ANTONIO 15,2025,9,2025-09,15.0,61.66,80.88,7.0,Priority B,0.8,False,Volatility,0.111,0.1542,0.0192,36.0,A
SAN IGNACIO 15,2025,9,2025-09,15.0,61.66,80.88,7.0,Priority B,0.8,False,Volatility,0.111,0.1542,0.0192,36.0,A
