sector,contract_type,barra,months_observed,avg_industrial_exposure_score,p90_industrial_exposure_score,max_industrial_exposure_score,priority_months,watchlist_months,low_info_months,spot_share,monthly_mwh,dominant_driver,watchlist_share,profile_priority_score,signal_stability_label_es
agroindustry_seasonal,balanced_30pct_spot_ppa,PUERTO MALDONADO 10,36,44.38,57.74,61.92,0,0,0,0.3,6000,Nivel de precio,0.0,43.7,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,BOTIFLACA 138,36,44.37,53.14,57.51,0,0,0,0.3,6000,Nivel de precio,0.0,41.88,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,LA NIÑA 220,36,44.18,53.05,55.82,0,0,0,0.3,6000,Nivel de precio,0.0,41.52,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,ARICOTA 66,36,44.16,52.68,57.24,0,0,0,0.3,6000,Nivel de precio,0.0,41.63,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,CHILINA 33,36,44.12,54.5,57.17,0,0,0,0.3,6000,Nivel de precio,0.0,42.06,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,MOLLENDO 138,36,44.07,55.29,58.82,0,0,0,0.3,6000,Nivel de precio,0.0,42.48,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,CACLIC 220,36,43.99,53.67,55.67,0,0,0,0.3,6000,Nivel de precio,0.0,41.57,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,AZANGARO 138,36,43.87,55.58,58.79,0,0,0,0.3,6000,Nivel de precio,0.0,42.45,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,PUERTO MALDONADO 138,36,43.73,57.15,62.29,0,0,0,0.3,6000,Nivel de precio,0.0,43.31,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,ARICOTA1 66,36,43.54,51.81,56.11,0,0,0,0.3,6000,Nivel de precio,0.0,40.96,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,LOS HEROES 66,36,43.49,51.84,56.13,0,0,0,0.3,6000,Nivel de precio,0.0,40.95,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,GUADALUPE 220,36,43.41,52.4,54.5,0,0,0,0.3,6000,Nivel de precio,0.0,40.81,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,PUCALLPA 60,36,43.38,52.11,59.04,0,0,0,0.3,6000,Nivel de precio,0.0,41.4,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,CHILINA 138,36,43.37,53.05,57.04,0,0,0,0.3,6000,Nivel de precio,0.0,41.33,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CT PLANTA PUCALLPA 60,36,43.33,51.99,58.92,0,0,0,0.3,6000,Nivel de precio,0.0,41.33,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,COMBAPATA 138,36,43.21,54.52,56.45,0,0,0,0.3,6000,Nivel de precio,0.0,41.54,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,REPARTICIÓN 138,36,43.17,54.14,57.72,0,0,0,0.3,6000,Nivel de precio,0.0,41.62,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,LOS HEROES 220,36,42.9,51.09,55.31,0,0,0,0.3,6000,Nivel de precio,0.0,40.37,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CUTERVO 138,36,42.84,52.94,56.12,0,0,0,0.3,6000,Nivel de precio,0.0,40.93,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,PUCALLPA 138,36,42.79,51.71,58.21,0,0,0,0.3,6000,Nivel de precio,0.0,40.91,Estable
agroindustry_seasonal,balanced_30pct_spot_ppa,CERRO VERDE 138,36,42.56,52.1,55.59,0,0,0,0.3,6000,Nivel de precio,0.0,40.51,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,AGROLMOS 60,6,42.31,51.84,54.32,0,0,0,0.3,6000,Nivel de precio,0.0,40.15,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,MOQUEGUA 138,36,42.06,50.49,54.44,0,0,0,0.3,6000,Nivel de precio,0.0,39.71,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,SANTUARIO 138,36,41.8,51.8,55.63,0,0,0,0.3,6000,Nivel de precio,0.0,40.1,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,PLANTA SAN JACINTO 13.8,36,41.71,50.34,53.46,0,0,0,0.3,6000,Nivel de precio,0.0,39.37,Variable
